Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Deer Mountain Ski Resort,South Dakota,South Dakota,6850,940,6040,0,0,0,0,1,1,2,4,63.0,2.0,1.6,500.0,50.0,69.0,51.0,200.0,45.0,81.0,,250.0,0.3770491803278688,0.6666666666666666,,2,0.22607581000136776,2.5934955132527615,0.06349206349206349,0.008,0.0,0.0
Terry Peak Ski Area,South Dakota,South Dakota,7100,1100,5900,0,0,3,0,1,0,1,5,30.0,1.0,1.2,450.0,225.0,114.0,65.0,150.0,58.0,120.0,,225.0,0.6229508196721312,0.3333333333333333,,2,0.22607581000136776,2.5934955132527615,0.16666666666666666,0.011111111111111113,0.1,0.006666666666666667
Ober Gatlinburg Ski Resort,Tennessee,Tennessee,3300,600,2700,0,0,0,2,0,1,1,4,10.0,1.0,1.0,,,83.0,44.0,35.0,65.0,94.0,,,1.0,1.0,,1,0.014643059321669063,2.372817008352316,0.4,,0.0,
Alta Ski Area,Salt Lake City,Utah,11068,2538,8530,0,0,3,0,1,2,0,6,116.0,,1.3,2614.0,140.0,150.0,81.0,545.0,116.0,140.0,,201.0769230769231,0.09715025906735753,,,13,0.4054950189615709,15.312673003757494,0.05172413793103448,0.002295332823259373,0.02586206896551724,0.0011476664116296866
Beaver Mountain,Utah,Utah,8600,1600,7232,0,0,0,0,1,3,1,5,48.0,2.0,0.8,464.0,,120.0,81.0,400.0,50.0,120.0,,35.692307692307686,0.07772020725388601,0.07692307692307693,,13,0.4054950189615709,15.312673003757494,0.10416666666666667,0.010775862068965518,0.0,0.0
Brian Head Resort,Utah,Utah,10970,1548,9600,0,0,1,0,6,1,0,8,71.0,2.0,0.6,650.0,216.0,149.0,54.0,360.0,59.0,148.0,,50.0,0.09650259067357513,0.07692307692307693,,13,0.4054950189615709,15.312673003757494,0.11267605633802814,0.012307692307692308,0.014084507042253518,0.0015384615384615385
Brighton Resort,Salt Lake City,Utah,10500,1745,8755,0,0,3,1,1,0,2,7,66.0,4.0,1.2,1050.0,200.0,138.0,83.0,500.0,85.0,138.0,200.0,80.76923076923076,0.08937823834196891,0.15384615384615385,0.3115264797507788,13,0.4054950189615709,15.312673003757494,0.10606060606060606,0.006666666666666667,0.045454545454545456,0.002857142857142857
Deer Valley Resort,Salt Lake City,Utah,9570,3000,6570,1,0,13,0,5,2,0,21,103.0,,2.8,2026.0,660.0,,39.0,300.0,169.0,,,155.84615384615384,,,,13,0.4054950189615709,15.312673003757494,0.20388349514563106,0.010365251727541954,0.1262135922330097,0.006416584402764067
Eagle Point,Utah,Utah,10600,1500,9100,0,0,0,1,1,2,1,5,40.0,1.0,0.9,650.0,,,9.0,400.0,60.0,109.0,,50.0,,0.038461538461538464,,13,0.4054950189615709,15.312673003757494,0.125,0.007692307692307694,0.0,0.0
Powder Mountain,Utah,Utah,9422,2522,6900,0,0,1,4,1,0,3,9,167.0,2.0,3.5,8464.0,,120.0,47.0,500.0,88.0,146.0,300.0,651.0769230769231,0.07772020725388601,0.07692307692307693,0.4672897196261682,13,0.4054950189615709,15.312673003757494,0.053892215568862284,0.0010633270321361056,0.00598802395209581,0.00011814744801512288
